time,veh,evt,pathId,policy,pathLen,nextIdx,targetJ,ttl,selected,nextList,prevHop
19.393,46,REQ,1,1,32,0,40,0,0,",040-41-42-51-60-61-70-79-80-71-62-53-52-43-34-33-32-31-22-13-12-3-2-1-0-9-10-11-20-29-30-39"
19.836,155,REQ,1,1,32,0,31,0,0,",031-32-33-42-51-60-61-70-79-80-71-62-53-52-43-34-35-26-17-8-7-6-5-4-3-12-13-14-15-16-25-24"
20.197,25,REQ,2,1,32,0,0,0,0,",00-1-10-9-18-19-20-11-12-3-4-5-6-7-8-17-16-15-14-13-22-21-30-29-38-47-56-65-64-63-72-73"
21.571,88,REQ,1,1,26,0,47,0,0,",047-56-65-64-63-72-73-74-75-76-77-78-79-80-71-70-61-60-69-68-67-66-57-58-59-50"
24.374,42,REQ,1,1,32,0,23,0,0,",023-32-33-42-51-60-61-70-79-80-71-62-53-52-43-34-35-26-17-8-7-6-5-4-3-12-13-22-21-20-11-10"
26.172,170,REQ,1,1,32,0,62,0,0,",062-71-70-61-60-51-52-43-34-33-32-23-14-5-4-3-12-13-22-21-20-11-10-1-0-9-18-19-28-29-30-31"
28.717,128,REQ,1,1,32,0,61,0,0,",061-70-71-80-79-78-77-76-67-66-65-64-63-54-55-56-57-58-59-60-51-52-53-44-43-42-41-32-23-14-5-6"
33.116,86,REQ,1,1,32,0,4,0,0,",04-3-12-13-14-5-6-7-8-17-16-15-24-23-32-31-22-21-20-29-30-39-38-47-56-65-66-67-76-77-68-69"
33.118,254,FWD,1,1,32,0,4,67,155,"155@1.84e+03;220@1.99e+03",254
33.253,164,REQ,1,1,3,0,11,0,0,",011-12-3"
33.950,175,REQ,1,1,32,0,21,0,0,",021-12-3-4-5-6-7-8-17-16-15-14-13-22-23-32-31-30-29-20-11-10-9-18-19-28-37-46-55-56-65-64"
33.973,90,REQ,1,1,32,0,23,0,0,",023-32-31-22-13-12-3-4-5-6-7-8-17-16-15-24-33-42-51-60-61-62-71-80-79-70-69-68-77-76-67-66"
35.431,264,REQ,1,1,32,0,56,0,0,",056-55-54-63-72-73-64-65-74-75-76-77-68-69-60-61-62-53-52-51-50-59-58-57-48-47-46-45-36-37-38-29"
35.546,40,REQ,1,1,32,0,58,0,0,",058-59-60-51-52-61-70-69-68-77-78-79-80-71-62-53-44-43-42-41-32-23-14-5-4-3-12-13-22-21-20-29"
39.456,67,REQ,1,1,32,0,34,0,0,",034-33-32-23-14-5-4-3-12-13-22-21-20-29-30-31-40-41-50-51-60-61-52-53-62-71-80-79-70-69-68-59"
41.590,291,REQ,1,1,32,0,22,0,0,",022-13-4-5-6-7-8-17-16-15-14-23-24-25-26-35-34-43-52-51-60-61-70-71-80-79-78-69-68-59-50-41"
42.068,238,REQ,1,1,26,0,32,0,0,",032-23-14-5-6-7-8-17-16-15-24-25-26-35-34-43-52-51-60-61-70-71-80-79-78-69"
46.094,47,REQ,1,1,32,0,70,0,0,",070-61-60-51-52-53-62-71-80-79-78-69-68-59-50-41-42-43-34-25-16-17-8-7-6-5-4-13-14-15-24-23"
46.482,124,REQ,1,1,24,0,32,0,0,",032-23-14-5-6-7-8-17-16-15-24-25-26-35-34-43-52-51-60-59-50-41-40-31"
48.094,236,REQ,1,1,32,0,20,0,0,",020-11-10-9-0-1-2-3-4-5-6-7-8-17-16-15-14-13-12-21-22-23-24-25-26-35-34-43-52-51-60-59"
49.434,207,REQ,1,1,12,0,15,0,0,",015-6-7-8-17-16-25-26-35-34-43-52"
52.506,107,REQ,1,1,11,0,25,0,0,",025-16-17-8-7-6-5-4-3-12-13"
57.996,133,REQ,1,1,19,0,16,0,0,",016-17-8-7-6-5-4-3-12-13-14-15-24-23-22-21-20-11-2"
58.781,52,REQ,1,1,32,0,18,0,0,",018-9-0-1-2-3-4-13-12-11-10-19-20-21-22-23-14-5-6-7-8-17-16-15-24-25-26-35-34-43-42-51"
